GEOID,2020_eviction,2021_eviction,2022_eviction,2023_eviction,own_occ_rate,pop,hh,r_hh,eviction_rate,rank_eviction_rate,corp_own_rate,rank_corp_own_rate,non_white_rate,rank_non_white_rate,o_mhi,mhi,rank_mhi,r_mhi,rank_r_mhi,white_rate,black_rate,hispanic_rate,asian_rate,othr_race_rate
25025080300,19.0,20.0,29.0,42.0,0.3174224343675417,1769,693,473,8.878999788090697,7.0,0.2195704057279236,46.0,95.30808366308648,22.0,71250.0,23315.0,21.0,16050.0,14.0,4.69191633691351,60.203504804974564,28.7167891464104,0.9044657998869418,5.483323911814588
25025080401,20.0,28.0,22.0,78.0,0.1972972972972973,2710,1225,983,7.932385075242218,15.0,0.3027027027027027,15.0,92.619926199262,29.0,69203.0,13446.0,2.0,11712.0,1.0,7.380073800738007,49.77859778597786,36.309963099631,2.4354243542435423,4.095940959409598
25025080500,48.0,23.0,13.0,28.0,0.2216494845360824,3096,1269,987,2.834791956956251,69.0,0.2474226804123711,29.5,92.47416020671835,30.0,59087.0,16136.0,9.0,14964.0,7.0,7.525839793281654,44.218346253229974,42.92635658914728,3.1976744186046515,2.131782945736444
25025080601,5.0,11.0,23.0,58.0,0.2391304347826087,4271,882,671,8.642695173307418,10.0,0.2732919254658385,24.0,49.75415593537813,80.0,56579.0,21422.0,18.0,18862.0,25.0,50.24584406462187,19.90166237415125,17.396394287052214,9.014282369468509,3.4418169047061564
25025080801,35.0,4.0,7.0,33.0,0.0,3885,927,927,3.559870550161812,54.0,0.2033898305084746,58.0,67.61904761904762,57.0,45764.0,15994.0,8.0,15817.0,12.0,32.38095238095238,20.36036036036036,34.62033462033462,9.935649935649936,2.702702702702707
25025080900,14.0,3.0,17.0,13.0,0.1957894736842105,4008,1686,1355,0.9587735151820039,113.0,0.4210526315789473,1.0,35.104790419161674,109.0,30375.0,36450.0,47.0,37955.0,87.0,64.89520958083833,8.208582834331338,7.80938123752495,16.46706586826347,2.619760479041915
25025081001,26.0,7.0,39.0,43.0,0.1367647058823529,4890,2234,1928,2.2297496183345813,86.0,0.3352941176470588,7.0,55.419222903885476,74.0,88239.0,28932.0,31.0,26287.0,41.0,44.580777096114524,13.987730061349692,19.427402862985684,18.813905930470348,3.1901840490797504
25025081100,6.0,31.0,24.0,6.0,0.4084507042253521,4091,1682,994,0.6030236113470359,130.0,0.1787648970747562,72.0,52.2610608653141,77.0,88571.0,45125.0,65.0,39375.0,91.0,47.7389391346859,21.412857492055732,14.861891957956491,13.419701784404792,2.5666096308970854
25025081200,7.0,10.0,8.0,16.0,0.4318181818181818,3265,1125,639,2.5031111111111115,79.0,0.2102272727272727,51.0,87.96324655436447,35.0,126190.0,18198.0,14.0,15935.0,13.0,12.03675344563553,29.464012251148546,52.67993874425727,2.5421133231240427,3.2771822358346148
25025081300,41.0,32.0,67.0,107.0,0.275,4760,2001,1450,7.375622533560806,18.0,0.3066666666666666,11.0,93.71848739495799,24.0,80948.0,20404.0,17.0,18309.0,23.0,6.281512605042017,42.26890756302521,47.5,0.8193277310924371,3.130252100840343
